"","Variable","M","SD","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X.","1. asrs_sum","13.81","5.27"," "," "," "," "," "," "," "," "," "," "
"X..2","2. age","39.07","12.24","-.21**"," "," "," "," "," "," "," "," "," "
"X..5","3. consc.gen","4.02","0.61","-.44**",".33**"," "," "," "," "," "," "," "," "
"X..8","4. self.efficacy","4.26","0.62","-.30**",".22**",".67**"," "," "," "," "," "," "," "
"X..11","5. orderliness","3.74","1.05","-.31**",".21**",".73**",".33**"," "," "," "," "," "," "
"X..14","6. dutifulness","4.28","0.63","-.25**",".30**",".69**",".46**",".34**"," "," "," "," "," "
"X..17","7. achievement.striving","4.02","0.82","-.28**",".31**",".73**",".50**",".36**",".51**"," "," "," "," "
"X..20","8. self.discipline","3.83","0.85","-.47**",".26**",".85**",".56**",".53**",".49**",".61**"," "," "," "
"X..23","9. cautiousness","4.01","1.00","-.32**",".20**",".75**",".34**",".48**",".43**",".36**",".56**"," "," "
"X..26","10. total.ocb","2.85","0.83",".01",".10",".19**",".23**",".01",".13*",".35**",".17**",".05"," "
"X..29","11. total.cwb","1.55","0.56",".28**","-.21**","-.45**","-.30**","-.29**","-.38**","-.32**","-.36**","-.37**",".15*"
